"Name","Position","Age","Team_from","League_from","Team_to","League_to","Season","Market_value","Transfer_fee"
"Espen Baardsen","Goalkeeper",22,"Spurs","Premier League","Watford"," England","2000-2001",NA,2000000
"Slavisa Jokanovic","Defensive Midfield",32,"Dep. La Coruña","LaLiga","Chelsea","Premier League","2000-2001",NA,1900000
"José Amavisca","Left Midfield",29,"Racing","LaLiga","Dep. La Coruña","LaLiga","2000-2001",NA,1900000
"Ivica Banovic","Defensive Midfield",19,"NK Zagreb"," Croatia","Werder Bremen","1.Bundesliga","2000-2001",NA,1900000
"Tommy Berntsen","Centre-Back",27,"Lilleström SK","Eliteserien","E. Frankfurt","1.Bundesliga","2000-2001",NA,1880000
"Patricio Camps","Forward",28,"Vélez Sarsfield"," Argentina","PAOK Saloniki","Super League","2000-2001",NA,1850000
"Brett Emerton","Right Midfield",21,"Sydney Olympic"," Australia","Feyenoord","Eredivisie","2000-2001",NA,1800000
"Sergej Barbarez","Second Striker",28,"Bor. Dortmund","1.Bundesliga","Hamburger SV","1.Bundesliga","2000-2001",NA,1800000
"Radek Bejbl","Defensive Midfield",27,"Atlético Madrid","LaLiga2","Lens","Ligue 1","2000-2001",NA,1800000
"Robin Nelisse","Centre-Forward",22,"Feyenoord","Eredivisie","AZ Alkmaar","Eredivisie","2000-2001",NA,1800000
"Yago Yao","Centre-Back",21,"Sporting Gijón","LaLiga2","Celta de Vigo","LaLiga","2000-2001",NA,1800000
"Zinédine Zidane","Attacking Midfield",29,"Juventus","Serie A","Real Madrid","LaLiga","2001-2002",NA,77500000
"Gianluigi Buffon","Goalkeeper",23,"Parma","Serie A","Juventus","Serie A","2001-2002",NA,52880000
"Gaizka Mendieta","Right Midfield",27,"Valencia CF","LaLiga","Lazio","Serie A","2001-2002",NA,48000000
"Juan Sebastián Verón","Central Midfield",26,"Lazio","Serie A","Man Utd","Premier League","2001-2002",NA,42600000
"Rui Costa","Attacking Midfield",29,"Fiorentina","Serie A","AC Milan","Serie A","2001-2002",NA,42000000
"Lilian Thuram","Centre-Back",29,"Parma","Serie A","Juventus","Serie A","2001-2002",NA,41500000
"Pavel Nedved","Left Midfield",28,"Lazio","Serie A","Juventus","Serie A","2001-2002",NA,38700000
"Filippo Inzaghi","Centre-Forward",27,"Juventus","Serie A","AC Milan","Serie A","2001-2002",NA,37000000
"Javier Saviola","Second Striker",19,"River Plate"," Argentina","FC Barcelona","LaLiga","2001-2002",NA,35900000
"Ruud van Nistelrooy","Centre-Forward",25,"PSV Eindhoven","Eredivisie","Man Utd","Premier League","2001-2002",NA,28500000
"Antonio Cassano","Second Striker",18,"Bari","Serie B","AS Roma","Serie A","2001-2002",NA,28500000
"Hidetoshi Nakata","Attacking Midfield",24,"AS Roma","Serie A","Parma","Serie A","2001-2002",NA,28400000
"Francesco Toldo","Goalkeeper",29,"Fiorentina","Serie A","Inter","Serie A","2001-2002",NA,26500000
"Jaap Stam","Centre-Back",29,"Man Utd","Premier League","Lazio","Serie A","2001-2002",NA,25750000
"Márcio Amoroso","Centre-Forward",27,"Parma","Serie A","Bor. Dortmund","1.Bundesliga","2001-2002",NA,25500000
"Stefano Fiore","Attacking Midfield",26,"Udinese Calcio","Serie A","Lazio","Serie A","2001-2002",NA,25000000
"Marcelo Salas","Centre-Forward",26,"Lazio","Serie A","Juventus","Serie A","2001-2002",NA,25000000
"Geovanni","Attacking Midfield",21,"Cruzeiro"," Brazil","FC Barcelona","LaLiga","2001-2002",NA,21000000
"Andrea Pirlo","Defensive Midfield",22,"Inter","Serie A","AC Milan","Serie A","2001-2002",NA,18000000
"Sérgio Conceição","Right Winger",26,"Parma","Serie A","Inter","Serie A","2001-2002",NA,18000000
"Robbie Keane","Centre-Forward",20,"Inter","Serie A","Leeds","Premier League","2001-2002",NA,18000000
"Sergio","Central Midfield",24,"Espanyol","LaLiga","Dep. La Coruña","LaLiga","2001-2002",NA,17900000
"Steve Marlet","Centre-Forward",27,"Olympique Lyon","Ligue 1","Fulham","Premier League","2001-2002",NA,17600000
"Philippe Christanval","Centre-Back",22,"Monaco","Ligue 1","FC Barcelona","LaLiga","2001-2002",NA,17000000
"Evanilson","Right-Back",25,"Bor. Dortmund","1.Bundesliga","Parma","Serie A","2001-2002",NA,17000000
"Robbie Fowler","Centre-Forward",26,"Liverpool","Premier League","Leeds","Premier League","2001-2002",NA,16800000
"Frank Lampard","Central Midfield",23,"West Ham","Premier League","Chelsea","Premier League","2001-2002",NA,16000000
"Javi Moreno","Centre-Forward",26,"Alavés","LaLiga","AC Milan","Serie A","2001-2002",NA,16000000
"Luca Toni","Centre-Forward",24,"Vicenza","Serie B","Brescia","Serie A","2001-2002",NA,15500000
"Cristian Zenoni","Right-Back",24,"AC Milan","Serie A","Juventus","Serie A","2001-2002",NA,15500000
"Darko Kovacevic","Centre-Forward",27,"Juventus","Serie A","Lazio","Serie A","2001-2002",NA,15000000
"Michalis Konstantinou","Centre-Forward",23,"Iraklis","Super League","Panathinaikos","Super League","2001-2002",NA,15000000
"Massimo Donati","Defensive Midfield",20,"Atalanta","Serie A","AC Milan","Serie A","2001-2002",NA,15000000
"Laurent Robert","Left Winger",26,"Paris SG","Ligue 1","Newcastle","Premier League","2001-2002",NA,14330000
"Ivan Pelizzoli","Goalkeeper",20,"Atalanta","Serie A","AS Roma","Serie A","2001-2002",NA,14000000
"Giovanni van Bronckhorst","Left-Back",26,"Rangers"," Scotland","Arsenal","Premier League","2001-2002",NA,13500000
"Adriano","Centre-Forward",19,"Flamengo"," Brazil","Inter","Serie A","2001-2002",NA,13190000
"Mohamed Kallon","Centre-Forward",21,"Vicenza","Serie B","Inter","Serie A","2001-2002",NA,13000000
"Goran Drulic","Centre-Forward",24,"Red Star"," Serbia","Real Zaragoza","LaLiga","2001-2002",NA,13000000
"Andy Cole","Centre-Forward",30,"Man Utd","Premier League","Blackburn","Premier League","2001-2002",NA,12200000
"Dean Richards","Centre-Back",27,"Southampton","Premier League","Spurs","Premier League","2001-2002",NA,12150000
"Simão","Left Winger",21,"FC Barcelona","LaLiga","Benfica"," Portugal","2001-2002",NA,12000000
"Éric Carrière","Attacking Midfield",28,"FC Nantes","Ligue 1","Olympique Lyon","Ligue 1","2001-2002",NA,12000000
"Daniel Van Buyten","Centre-Back",23,"Standard Liège","Jupiler Pro League","Marseille","Ligue 1","2001-2002",NA,11500000
"Seth Johnson","Central Midfield",22,"Derby","Premier League","Leeds","Premier League","2001-2002",NA,11500000
"Emmanuel Petit","Defensive Midfield",30,"FC Barcelona","LaLiga","Chelsea","Premier League","2001-2002",NA,11500000
"Juan Carlos Valerón","Attacking Midfield",26,"Atlético Madrid","LaLiga2","Dep. La Coruña","LaLiga","2001-2002",NA,11000000
"Cristiano Zanetti","Defensive Midfield",24,"AS Roma","Serie A","Inter","Serie A","2001-2002",NA,11000000
"Diego Forlán","Second Striker",22,"Independiente"," Argentina","Man Utd","Premier League","2001-2002",NA,11000000
"Mario Turdó","Centre-Forward",22,"Celta de Vigo","LaLiga","Stade Rennais","Ligue 1","2001-2002",NA,10820000
"Salva Ballesta","Centre-Forward",26,"Atlético Madrid","LaLiga2","Valencia CF","LaLiga","2001-2002",NA,10800000
"Corrado Grabbi","Centre-Forward",25,"Ternana","Serie B","Blackburn","Premier League","2001-2002",NA,10700000
"Jan Koller","Centre-Forward",28,"RSC Anderlecht","Jupiler Pro League","Bor. Dortmund","1.Bundesliga","2001-2002",NA,10500000
"Marco Materazzi","Centre-Back",27,"Perugia","Serie A","Inter","Serie A","2001-2002",NA,10500000
"Edwin van der Sar","Goalkeeper",30,"Juventus","Serie A","Fulham","Premier League","2001-2002",NA,10300000
"Martin Djetou","Centre-Back",26,"Monaco","Ligue 1","Parma","Serie A","2001-2002",NA,9750000
"Gareth Southgate","Centre-Back",30,"Aston Villa","Premier League","Middlesbrough","Premier League","2001-2002",NA,9750000
"Michael Ball","Left-Back",21,"Everton","Premier League","Rangers"," Scotland","2001-2002",NA,9750000
"Hugo Leal","Central Midfield",21,"Atlético Madrid","LaLiga2","Paris SG","Ligue 1","2001-2002",NA,9500000
"William Gallas","Centre-Back",23,"Marseille","Ligue 1","Chelsea","Premier League","2001-2002",NA,9300000
"Martin Laursen","Centre-Back",23,"Hellas Verona","Serie A","Parma","Serie A","2001-2002",NA,9300000
"Craig Bellamy","Left Winger",21,"Coventry City","First Division","Newcastle","Premier League","2001-2002",NA,9000000
"John Hartson","Centre-Forward",26,"Coventry City","First Division","Celtic"," Scotland","2001-2002",NA,9000000
"Fábio Rochemback","Central Midfield",19,"Internacional"," Brazil","FC Barcelona","LaLiga","2001-2002",NA,9000000
"Lucas Bernardi","Central Midfield",23,"Marseille","Ligue 1","Monaco","Ligue 1","2001-2002",NA,9000000
"Richard Wright","Goalkeeper",23,"Ipswich","Premier League","Arsenal","Premier League","2001-2002",NA,9000000
"Péguy Luyindula","Centre-Forward",22,"R. Strasbourg","Ligue 2","Olympique Lyon","Ligue 1","2001-2002",NA,8800000
"Edú Gaspar","Central Midfield",23,"Corinthians"," Brazil","Arsenal","Premier League","2001-2002",NA,8750000
"Flavio Roma","Goalkeeper",27,"Piacenza","Serie A","Monaco","Ligue 1","2001-2002",NA,8500000
"Jan Vennegoor of Hesselink","Centre-Forward",22,"FC Twente","Eredivisie","PSV Eindhoven","Eredivisie","2001-2002",NA,8400000
"Tomás Repka","Centre-Back",27,"Fiorentina","Serie A","West Ham","Premier League","2001-2002",NA,8250000
"Chris Kirkland","Goalkeeper",20,"Coventry City","First Division","Liverpool","Premier League","2001-2002",NA,8200000
"Claudio Pizarro","Centre-Forward",22,"Werder Bremen","1.Bundesliga","Bayern Munich ","1.Bundesliga","2001-2002",NA,8200000
"Alex","Attacking Midfield",23,"Cruzeiro"," Brazil","Parma","Serie A","2001-2002",NA,8000000
"Darko Kovacevic","Centre-Forward",28,"Lazio","Serie A","Real Sociedad","LaLiga","2001-2002",NA,8000000
"Boudewijn Zenden","Left Winger",24,"FC Barcelona","LaLiga","Chelsea","Premier League","2001-2002",NA,8000000
"Patrik Andersson","Centre-Back",29,"Bayern Munich ","1.Bundesliga","FC Barcelona","LaLiga","2001-2002",NA,8000000
"Bosko Balaban","Centre-Forward",22,"Dinamo Zagreb"," Croatia","Aston Villa","Premier League","2001-2002",NA,7800000
"Hugo Ibarra","Right-Back",27,"Boca Juniors"," Argentina","FC Porto"," Portugal","2001-2002",NA,7800000
"Zlatan Ibrahimovic","Centre-Forward",19,"Malmö FF"," Sweden","AFC Ajax","Eredivisie","2001-2002",NA,7800000
"Jermaine Jenas","Central Midfield",18,"Nottm Forest","First Division","Newcastle","Premier League","2001-2002",NA,7500000
"Fernando Meira","Centre-Back",23,"Benfica"," Portugal","VfB Stuttgart","1.Bundesliga","2001-2002",NA,7500000
"Jason Euell","Second Striker",24,"MK Dons","First Division","Charlton","Premier League","2001-2002",NA,7500000
"Giuliano Giannichedda","Defensive Midfield",26,"Udinese Calcio","Serie A","Lazio","Serie A","2001-2002",NA,7500000
"Robert Kovac","Centre-Back",27,"Bay. Leverkusen","1.Bundesliga","Bayern Munich ","1.Bundesliga","2001-2002",NA,7500000
"Jon Macken","Centre-Forward",24,"Preston NE","First Division","Man City","First Division","2001-2002",NA,7500000
"Frédéric Née","Centre-Forward",26,"SC Bastia","Ligue 1","Olympique Lyon","Ligue 1","2001-2002",NA,7500000
"Don Hutchison","Attacking Midfield",30,"Sunderland","Premier League","West Ham","Premier League","2001-2002",NA,7500000
"Lee Hughes","Centre-Forward",25,"West Brom","First Division","Coventry City","First Division","2001-2002",NA,7500000
"Peter Crouch","Centre-Forward",21,"Portsmouth","First Division","Aston Villa","Premier League","2001-2002",NA,7500000
"Jerzy Dudek","Goalkeeper",28,"Feyenoord","Eredivisie","Liverpool","Premier League","2001-2002",NA,7400000
"Ewerthon","Centre-Forward",20,"Corinthians"," Brazil","Bor. Dortmund","1.Bundesliga","2001-2002",NA,7100000
"Marcelinho Paraíba","Attacking Midfield",26,"Grêmio"," Brazil","Hertha BSC","1.Bundesliga","2001-2002",NA,7000000
"Javier Chevantón","Centre-Forward",20,"Danubio FC"," Uruguay","Lecce","Serie A","2001-2002",NA,7000000
"Cosmin Contra","Right-Back",25,"Alavés","LaLiga","AC Milan","Serie A","2001-2002",NA,7000000
"Camel Meriem","Attacking Midfield",22,"FC Sochaux","Ligue 1","G. Bordeaux","Ligue 1","2001-2002",NA,7000000
"Jesper Blomqvist","Left Midfield",27,"Man Utd","Premier League","Everton","Premier League","2001-2002",NA,7000000
"Nelson Vivas","Right-Back",31,"Arsenal","Premier League","Inter","Serie A","2001-2002",NA,7000000
"Milan Baros","Centre-Forward",20,"Banik Ostrava"," Czech Republic","Liverpool","Premier League","2001-2002",NA,7000000
"Olof Mellberg","Centre-Back",23,"Racing","LaLiga2","Aston Villa","Premier League","2001-2002",NA,6800000
"Szilard Nemeth","Second Striker",23,"Inter Bratislava"," Slovakia","Middlesbrough","Premier League","2001-2002",NA,6750000
"Tomasz Radzinski","Centre-Forward",27,"RSC Anderlecht","Jupiler Pro League","Everton","Premier League","2001-2002",NA,6750000
"Claudio Reyna","Central Midfield",28,"Rangers"," Scotland","Sunderland","Premier League","2001-2002",NA,6700000
"Steed Malbranque","Central Midfield",21,"Olympique Lyon","Ligue 1","Fulham","Premier League","2001-2002",NA,6600000
"Christian Ziege","Left Midfield",29,"Liverpool","Premier League","Spurs","Premier League","2001-2002",NA,6500000
"Joan Capdevila","Left-Back",23,"Atlético Madrid","LaLiga2","Dep. La Coruña","LaLiga","2001-2002",NA,6400000
"Matteo Sereni","Goalkeeper",26,"Sampdoria","Serie B","Ipswich","Premier League","2001-2002",NA,6250000
"Bart Goor","Left Midfield",28,"RSC Anderlecht","Jupiler Pro League","Hertha BSC","1.Bundesliga","2001-2002",NA,6250000
"John Arne Riise","Left-Back",20,"Monaco","Ligue 1","Liverpool","Premier League","2001-2002",NA,6100000
"Alex","Attacking Midfield",24,"Parma","Serie A","Cruzeiro"," Brazil","2001-2002",NA,6000000
"Luke Young","Right-Back",21,"Spurs","Premier League","Charlton","Premier League","2001-2002",NA,6000000
"Rory Delap","Central Midfield",25,"Derby","Premier League","Southampton","Premier League","2001-2002",NA,6000000
"Goran Bunjevcevic","Centre-Back",28,"Red Star"," Serbia","Spurs","Premier League","2001-2002",NA,6000000
"Antonio Guayre","Right Winger",21,"UD Las Palmas","LaLiga","Villarreal CF","LaLiga","2001-2002",NA,6000000
"Gonzalo Sorondo","Centre-Back",21,"Defensor"," Uruguay","Inter","Serie A","2001-2002",NA,6000000
"Zoltan Sebescen","Right-Back",25,"VfL Wolfsburg","1.Bundesliga","Bay. Leverkusen","1.Bundesliga","2001-2002",NA,6000000
"Lamberto Zauli","Attacking Midfield",30,"Vicenza","Serie B","Bologna","Serie A","2001-2002",NA,6000000
"Agustín Delgado","Centre-Forward",27,"Necaxa"," Mexico","Southampton","Premier League","2001-2002",NA,5750000
"Joey Gudjónsson","Central Midfield",21,"RKC Waalwijk","Eredivisie","Real Betis","LaLiga","2001-2002",NA,5630000
"Bernardo Romeo","Centre-Forward",24,"San Lorenzo"," Argentina","Hamburger SV","1.Bundesliga","2001-2002",NA,5620000
"Paulo Wanchope","Centre-Forward",24,"West Ham","Premier League","Man City","First Division","2001-2002",NA,5600000
"Didier Domi","Left-Back",23,"Newcastle","Premier League","Paris SG","Ligue 1","2001-2002",NA,5580000
"Niko Kovac","Defensive Midfield",29,"Hamburger SV","1.Bundesliga","Bayern Munich ","1.Bundesliga","2001-2002",NA,5500000
"Shinji Ono","Attacking Midfield",21,"Urawa Reds","J1 - 2nd Stage","Feyenoord","Eredivisie","2001-2002",NA,5500000
"Marius Niculae","Centre-Forward",20,"Dinamo Bukarest"," Romania","Sporting CP"," Portugal","2001-2002",NA,5300000
"Sylvain Legwinski","Left Midfield",28,"G. Bordeaux","Ligue 1","Fulham","Premier League","2001-2002",NA,5250000
"Jon Harley","Left-Back",21,"Chelsea","Premier League","Fulham","Premier League","2001-2002",NA,5250000
"Nicolás Medina","Defensive Midfield",19,"Argentinos"," Argentina","Sunderland","Premier League","2001-2002",NA,5250000
"Ronaldinho","Attacking Midfield",21,"Grêmio"," Brazil","Paris SG","Ligue 1","2001-2002",NA,5100000
"Victor Agali","Centre-Forward",22,"Hansa Rostock","1.Bundesliga","FC Schalke 04","1.Bundesliga","2001-2002",NA,5100000
"Nihat Kahveci","Centre-Forward",22,"Besiktas","Süper Lig","Real Sociedad","LaLiga","2001-2002",NA,5000000
"César","Left Midfield",26,"São Caetano"," Brazil","Lazio","Serie A","2001-2002",NA,5000000
"Christian Panucci","Right-Back",28,"Inter","Serie A","AS Roma","Serie A","2001-2002",NA,5000000
"Ezequiel González","Attacking Midfield",20,"CA Rosario"," Argentina","Fiorentina","Serie A","2001-2002",NA,5000000
"Mantorras","Centre-Forward",19,"Alverca"," Portugal","Benfica"," Portugal","2001-2002",NA,5000000
"Eduardo Costa","Defensive Midfield",18,"Grêmio"," Brazil","G. Bordeaux","Ligue 1","2001-2002",NA,5000000
"Ümit Davala","Right Midfield",28,"Galatasaray","Süper Lig","AC Milan","Serie A","2001-2002",NA,5000000
"Sander Westerveld","Goalkeeper",27,"Liverpool","Premier League","Real Sociedad","LaLiga","2001-2002",NA,5000000
"Lilian Laslandes","Centre-Forward",29,"G. Bordeaux","Ligue 1","Sunderland","Premier League","2001-2002",NA,5000000
"João Tomás","Centre-Forward",26,"Benfica"," Portugal","Real Betis","LaLiga","2001-2002",NA,5000000
"Delfim","Central Midfield",24,"Sporting CP"," Portugal","Marseille","Ligue 1","2001-2002",NA,5000000
"Jörg Albertz","Left Midfield",30,"Rangers"," Scotland","Hamburger SV","1.Bundesliga","2001-2002",NA,5000000
"David James","Goalkeeper",30,"Aston Villa","Premier League","West Ham","Premier League","2001-2002",NA,4800000
"Aníbal Matellán","Centre-Back",24,"Boca Juniors"," Argentina","FC Schalke 04","1.Bundesliga","2001-2002",NA,4800000
"Jérôme Rothen","Left Midfield",23,"Troyes","Ligue 1","Monaco","Ligue 1","2001-2002",NA,4500000
"Shota Arveladze","Centre-Forward",28,"AFC Ajax","Eredivisie","Rangers"," Scotland","2001-2002",NA,4500000
"Marcus Bent","Centre-Forward",23,"Blackburn","Premier League","Ipswich","Premier League","2001-2002",NA,4500000
"Jardel","Centre-Forward",27,"Galatasaray","Süper Lig","Sporting CP"," Portugal","2001-2002",NA,4500000
"Patrick M'Boma","Centre-Forward",31,"Parma","Serie A","Sunderland","Premier League","2001-2002",NA,4500000
"Matthew Jones","Central Midfield",20,"Leeds","Premier League","Leicester","Premier League","2001-2002",NA,4500000
"James Scowcroft","Centre-Forward",25,"Ipswich","Premier League","Leicester","Premier League","2001-2002",NA,4500000
"Kenny Miller","Centre-Forward",22,"Rangers"," Scotland","Wolves","First Division","2001-2002",NA,4500000
"Jacek Bak","Centre-Back",28,"Olympique Lyon","Ligue 1","Lens","Ligue 1","2001-2002",NA,4300000
"Mido","Centre-Forward",18,"KAA Gent","Jupiler Pro League","AFC Ajax","Eredivisie","2001-2002",NA,4200000
"Pablo Contreras","Centre-Back",22,"Monaco","Ligue 1","Celta de Vigo","LaLiga","2001-2002",NA,4200000
"Finidi George","Right Winger",30,"RCD Mallorca","LaLiga","Ipswich","Premier League","2001-2002",NA,4200000
"François Grenet","Right-Back",26,"G. Bordeaux","Ligue 1","Derby","Premier League","2001-2002",NA,4190000
"Lincoln","Attacking Midfield",22,"Atlético-MG"," Brazil","1.FC K'lautern","1.Bundesliga","2001-2002",NA,4000000
